Station,Time,Lat,Lon,Max Gust (mph),x,y
COPA,2023-02-17 20:00:00+00:00,42.13659,-73.51988,23,-8184195.604782578,5181461.973925223
COPA,2023-02-17 21:00:00+00:00,42.13659,-73.51988,26,-8184195.604782578,5181461.973925223
COPE,2023-02-17 20:00:00+00:00,43.920564,-75.607866,12,-8416629.143086063,5453157.497283811
COPE,2023-02-17 21:00:00+00:00,43.920564,-75.607866,18,-8416629.143086063,5453157.497283811
CROG,2023-02-17 21:00:00+00:00,43.97496,-75.201,10,-8371337.027144965,5461568.002993654
CSQR,2023-02-17 20:00:00+00:00,43.32613,-76.10445,12,-8471908.621102149,5361744.639580824
CSQR,2023-02-17 21:00:00+00:00,43.32613,-76.10445,18,-8471908.621102149,5361744.639580824
DELE,2023-02-17 20:00:00+00:00,42.418464,-78.4232,19,-8730030.690379051,5223870.90165899
DELE,2023-02-17 21:00:00+00:00,42.418464,-78.4232,20,-8730030.690379051,5223870.90165899
DEPO,2023-02-17 20:00:00+00:00,42.068551,-75.392193,17,-8392620.534548206,5171253.5889063
DEPO,2023-02-17 21:00:00+00:00,42.068551,-75.392193,19,-8392620.534548206,5171253.5889063
DOVE,2023-02-17 20:00:00+00:00,41.77367,-73.57542,17,-8190378.289301236,5127136.370314013
DOVE,2023-02-17 21:00:00+00:00,41.77367,-73.57542,24,-8190378.289301236,5127136.370314013
DUAN,2023-02-17 20:00:00+00:00,42.80319,-74.17361,35,-8256968.495498863,5282063.175153728
DUAN,2023-02-17 21:00:00+00:00,42.80319,-74.17361,37,-8256968.495498863,5282063.175153728
EAUR,2023-02-17 20:00:00+00:00,42.71349,-78.63173,13,-8753244.143794173,5268463.285700156
EAUR,2023-02-17 21:00:00+00:00,42.71349,-78.63173,15,-8753244.143794173,5268463.285700156
EDIN,2023-02-17 20:00:00+00:00,43.22819,-74.11293,19,-8250213.628797529,5346769.441221413
EDIN,2023-02-17 21:00:00+00:00,43.22819,-74.11293,19,-8250213.628797529,5346769.441221413
ELDR,2023-02-17 20:00:00+00:00,41.53961,-74.87992,20,-8335594.5650410615,5092262.801696806
ELDR,2023-02-17 21:00:00+00:00,41.53961,-74.87992,23,-8335594.5650410615,5092262.801696806
ELMI,2023-02-17 20:00:00+00:00,42.11332,-76.83664,25,-8553415.639066076,5177969.37410279
ELMI,2023-02-17 21:00:00+00:00,42.11332,-76.83664,25,-8553415.639066076,5177969.37410279
FAYE,2023-02-17 20:00:00+00:00,43.054226,-75.990041,18,-8459172.669479981,5320229.24263659
FAYE,2023-02-17 21:00:00+00:00,43.054226,-75.990041,20,-8459172.669479981,5320229.24263659
FRED,2023-02-17 20:00:00+00:00,42.41817,-79.3666,19,-8835049.497993426,5223826.569271024
FRED,2023-02-17 21:00:00+00:00,42.41817,-79.3666,20,-8835049.497993426,5223826.569271024
GFAL,2023-02-17 20:00:00+00:00,43.34087,-73.60202,15,-8193339.387756337,5364000.500552735
GFAL,2023-02-17 21:00:00+00:00,43.34087,-73.60202,16,-8193339.387756337,5364000.500552735
GFLD,2023-02-17 20:00:00+00:00,43.7168,-75.40925,17,-8394519.311102666,5421720.416392297
GFLD,2023-02-17 21:00:00+00:00,43.7168,-75.40925,18,-8394519.311102666,5421720.416392297
GROT,2023-02-17 20:00:00+00:00,42.54855,-76.37534,22,-8502063.957963137,5243507.064024535
GROT,2023-02-17 21:00:00+00:00,42.54855,-76.37534,26,-8502063.957963137,5243507.064024535
GROV,2023-02-17 20:00:00+00:00,42.48951,-77.94946,19,-8677294.194810646,5234590.060315677
GROV,2023-02-17 21:00:00+00:00,42.48951,-77.94946,25,-8677294.194810646,5234590.060315677
HARP,2023-02-17 20:00:00+00:00,42.4728,-74.69849,22,-8315397.869826439,5232067.823080212
