,Station,OBS Time,Lat,Lon,Current WX,Temperature (F),Wind (mph),peak_wind_gust,Real Feel Temperature,1 Hour Precipitation,WX Code,ptype,color,Time,Max Gust (mph),id,category,description_id,geom,x,y
25,GRR,2023-02-16 21:53:00Z,42.88,-85.52,Mixed Ice Pellets and Snow,27.00,18.0,29.0,13.17,0.04,-PLSN BR,3.0,#56419c,2023-02-16 22:00:00+00:00,29.0,,,,,-9520042.852640755,5293724.4233221635
26,PIL,2023-02-16 21:53:00Z,26.1597,-97.3378,Rain,64.00,21.0,35.0,64.00,0.0001,-RA,6.0,#169c2f,2023-02-16 22:00:00+00:00,35.0,,,,,-10835594.330937505,3018873.9547389904
27,FNB,2023-02-16 21:53:00Z,40.0788,-95.592,Snow and/or Graupel,25.00,14.0,26.0,12.14,0.0001,-SN BR,1.0,#1f48cf,2023-02-16 22:00:00+00:00,26.0,,,,,-10641252.763910607,4877399.896854324
28,DMO,2023-02-16 21:53:00Z,38.7074,-93.1759,Unknown Precip,28.00,15.0,26.0,15.59,0.0001,UP,0.0,#707070,2023-02-16 22:00:00+00:00,26.0,,,,,-10372293.742204979,4679845.376786533
29,LWD,2023-02-16 21:53:00Z,40.6306,-93.9005,Snow and/or Graupel,25.00,15.0,29.0,11.71,0.0001,-SN,1.0,#1f48cf,2023-02-16 22:00:00+00:00,29.0,,,,,-10452955.845233783,4958006.989946115
30,ZZV,2023-02-16 21:53:00Z,39.9445,-81.8921,Rain,59.00,20.0,30.0,59.00,0.0001,-RA,6.0,#169c2f,2023-02-16 22:00:00+00:00,30.0,,,,,-9116186.87199184,4857880.445382525
31,BEH,2023-02-16 21:53:00Z,42.1286,-86.4285,Freezing Rain,30.90,11.0,26.0,21.08,0.08,-FZRA BR,4.0,#e30bc6,2023-02-16 22:00:00+00:00,26.0,,,,,-9621176.610026445,5180262.608305653
32,MSN,2023-02-16 21:53:00Z,43.1406,-89.3453,Snow and/or Graupel,25.00,13.0,29.0,12.60,0.0001,-SN,1.0,#1f48cf,2023-02-16 22:00:00+00:00,29.0,,,,,-9945873.300772265,5333397.1455505965
33,CWI,2023-02-16 21:56:00Z,41.8295,-90.3328,Snow and/or Graupel,27.00,17.0,29.0,13.52,0.01,-SN BR,1.0,#1f48cf,2023-02-16 22:00:00+00:00,29.0,,,,,-10055801.297930624,5135473.48853088
34,BMG,2023-02-16 22:03:00Z,39.146,-86.6167,Rain,57.90,13.0,26.0,57.90,0.0001,-RA BR,6.0,#169c2f,2023-02-16 23:00:00+00:00,26.0,,,,,-9642126.938193738,4742606.449260618
35,ORD,2023-02-16 22:05:00Z,41.9875,-87.9319,Snow and/or Graupel,32.00,19.0,30.0,19.44,0.0001,-SN BR,1.0,#1f48cf,2023-02-16 23:00:00+00:00,30.0,,,,,-9788534.332485052,5159107.1885415
36,BTL,2023-02-16 22:08:00Z,42.3073,-85.2515,Freezing Rain,30.00,14.0,26.0,18.58,0.0001,-FZRA BR,4.0,#e30bc6,2023-02-16 23:00:00+00:00,26.0,,,,,-9490153.569362761,5207123.224445659
37,BTL,2023-02-16 22:15:00Z,42.3073,-85.2515,Freezing Rain,30.00,15.0,26.0,18.19,0.02,-FZRA BR,4.0,#e30bc6,2023-02-16 23:00:00+00:00,26.0,,,,,-9490153.569362761,5207123.224445659
38,BTR,2023-02-16 22:17:00Z,30.5372,-91.1469,Rain with Thunderstorm,73.90,13.0,26.0,73.90,0.04,-TSRA,6.0,#169c2f,2023-02-16 23:00:00+00:00,26.0,,,,,-10146426.495385427,3572790.4861629624
39,MKE,2023-02-16 22:17:00Z,42.9472,-87.8967,Snow and/or Graupel,30.00,19.0,36.0,16.79,0.0001,SN BLSN,1.0,#1f48cf,2023-02-16 23:00:00+00:00,36.0,,,,,-9784615.886409128,5303938.5985906385
40,BTL,2023-02-16 22:19:00Z,42.3073,-85.2515,Freezing Rain,30.00,13.0,26.0,19.01,0.02,FZRA BR,4.0,#e30bc6,2023-02-16 23:00:00+00:00,26.0,,,,,-9490153.569362761,5207123.224445659
41,BMG,2023-02-16 22:19:00Z,39.146,-86.6167,Rain,55.90,11.0,29.0,55.90,0.0001,-RA BR,6.0,#169c2f,2023-02-16 23:00:00+00:00,29.0,,,,,-9642126.938193738,4742606.449260618
42,BTR,2023-02-16 22:23:00Z,30.5372,-91.1469,Rain with Thunderstorm,73.00,22.0,31.0,73.00,0.04,+TSRA BR,6.0,#169c2f,2023-02-16 23:00:00+00:00,31.0,,,,,-10146426.495385427,3572790.4861629624
43,MBS,2023-02-16 22:23:00Z,43.53,-84.08,Freezing Rain,25.00,16.0,28.0,11.29,0.03,-FZRASN BR,4.0,#e30bc6,2023-02-16 23:00:00+00:00,28.0,,,,,-9359742.785898441,5392994.363605281
44,LCH,2023-02-16 22:25:00Z,30.1255,-93.2277,Rain with Thunderstorm,53.10,11.0,29.0,53.10,0.04,VCTS RA,6.0,#169c2f,2023-02-16 23:00:00+00:00,29.0,,,,,-10378060.09182807,3519691.920207119
45,BTR,2023-02-16 22:27:00Z,30.5372,-91.1469,Rain with Thunderstorm,70.00,15.0,31.0,70.00,0.22,+TSRA BR,6.0,#169c2f,2023-02-16 23:00:00+00:00,31.0,,,,,-10146426.495385427,3572790.4861629624
46,MDW,2023-02-16 22:27:00Z,41.786,-87.7524,Snow and/or Graupel,32.00,18.0,26.0,19.75,0.01,-SN BR,1.0,#1f48cf,2023-02-16 23:00:00+00:00,26.0,,,,,-9768552.48388766,5128976.989777991
47,MBS,2023-02-16 22:28:00Z,43.53,-84.08,-FZDZSN BR,25.00,19.0,28.0,10.18,0.03,-FZDZSN BR,0.0,#000000,2023-02-16 23:00:00+00:00,28.0,,,,,-9359742.785898441,5392994.363605281
48,BTR,2023-02-16 22:29:00Z,30.5372,-91.1469,Rain with Thunderstorm,70.00,18.0,31.0,70.00,0.32,+TSRA BR,6.0,#169c2f,2023-02-16 23:00:00+00:00,31.0,,,,,-10146426.495385427,3572790.4861629624
49,TOP,2023-02-16 22:31:00Z,39.07,-95.62,Snow and/or Graupel,28.00,11.0,27.0,17.41,0.0001,-SN,1.0,#1f48cf,2023-02-16 23:00:00+00:00,27.0,,,,,-10644369.709652819,4731703.437722285
